time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-06 00:00:00+00:00,12,11,110,44
2023-04-07 00:00:00+00:00,13,13,132,47
2023-04-08 00:00:00+00:00,7,6,49,25
2023-04-09 00:00:00+00:00,6,6,60,28
2023-04-10 00:00:00+00:00,6,6,69,33
2023-04-11 00:00:00+00:00,14,12,82,42
2023-04-12 00:00:00+00:00,11,9,59,35
2023-04-13 00:00:00+00:00,10,8,67,34
2023-04-14 00:00:00+00:00,9,9,38,30
2023-04-15 00:00:00+00:00,4,4,40,27
2023-04-16 00:00:00+00:00,5,5,42,27
2023-04-17 00:00:00+00:00,14,14,45,30
2023-04-18 00:00:00+00:00,10,10,88,52
2023-04-19 00:00:00+00:00,12,10,61,39
