time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-21 00:00:00+00:00,9,9,55,36
2022-12-22 00:00:00+00:00,8,8,68,41
2022-12-23 00:00:00+00:00,16,16,99,52
2022-12-24 00:00:00+00:00,19,19,63,34
2022-12-25 00:00:00+00:00,12,10,50,27
2022-12-26 00:00:00+00:00,11,10,78,33
2022-12-27 00:00:00+00:00,6,5,72,33
2022-12-28 00:00:00+00:00,9,8,67,41
2022-12-29 00:00:00+00:00,17,13,63,42
2022-12-30 00:00:00+00:00,7,6,42,29
2022-12-31 00:00:00+00:00,13,12,41,23
2023-01-01 00:00:00+00:00,8,8,65,35
2023-01-02 00:00:00+00:00,15,13,71,37
2023-01-03 00:00:00+00:00,18,15,150,56
