time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-26 00:00:00+00:00,17,15,61,30
2022-11-27 00:00:00+00:00,13,12,99,45
2022-11-28 00:00:00+00:00,9,9,55,33
2022-11-29 00:00:00+00:00,14,14,81,35
2022-11-30 00:00:00+00:00,15,14,66,38
2022-12-01 00:00:00+00:00,11,10,73,39
2022-12-02 00:00:00+00:00,14,13,86,35
2022-12-03 00:00:00+00:00,9,8,100,46
2022-12-04 00:00:00+00:00,15,14,95,45
2022-12-05 00:00:00+00:00,13,10,78,37
2022-12-06 00:00:00+00:00,24,18,100,51
2022-12-07 00:00:00+00:00,18,13,71,42
2022-12-08 00:00:00+00:00,20,13,81,38
2022-12-09 00:00:00+00:00,11,10,115,49
