time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-04 00:00:00+00:00,15,14,95,45
2022-12-05 00:00:00+00:00,13,10,78,37
2022-12-06 00:00:00+00:00,24,18,100,51
2022-12-07 00:00:00+00:00,18,13,71,42
2022-12-08 00:00:00+00:00,20,13,81,38
2022-12-09 00:00:00+00:00,13,12,116,50
2022-12-10 00:00:00+00:00,24,10,94,31
2022-12-11 00:00:00+00:00,17,15,93,40
2022-12-12 00:00:00+00:00,7,5,112,45
2022-12-13 00:00:00+00:00,14,10,85,38
2022-12-14 00:00:00+00:00,13,11,105,49
2022-12-15 00:00:00+00:00,16,15,125,61
2022-12-16 00:00:00+00:00,11,8,95,34
2022-12-17 00:00:00+00:00,5,5,58,29
